Dominant_Topic,Topic_Perc_Contrib,Keywords
13,0.6563615798950195,"loan,financial,interest,income,value,security,asset,loss,rate,net"
18,0.9548831582069397,"loss,company,year,insurance,net,investment,premium,financial,business,reinsurance"
19,0.5012893080711365,"loan,interest,company,asset,financial,loss,security,value,rate,year"
8,0.6524322032928467,"company,property,interest,year,income,share,financial,lease,include,net"
19,0.6211716532707214,"loan,interest,company,asset,financial,loss,security,value,rate,year"
14,0.5219866633415222,"credit,financial,year,cash,company,interest,income,sale,end,loan"
15,0.939137876033783,"trust,interest,unit,property,royalty,net,gas,production,price,income"
15,0.999920129776001,"trust,interest,unit,property,royalty,net,gas,production,price,income"
16,0.7635379433631897,"value,asset,financial,loss,interest,security,investment,note,credit,fair"
12,0.8152381777763367,"property,may,interest,share,year,income,investment,value,rate,real"
18,0.7164660692214966,"loss,company,year,insurance,net,investment,premium,financial,business,reinsurance"
13,0.5929369926452637,"loan,financial,interest,income,value,security,asset,loss,rate,net"
19,0.7490715980529785,"loan,interest,company,asset,financial,loss,security,value,rate,year"
19,0.7371230125427246,"loan,interest,company,asset,financial,loss,security,value,rate,year"
